Year,Destination,Jan - Residence,Feb - Residence,Mar - Residence,Apr - Residence,May - Residence,Jun - Residence,Jul - Residence,Aug - Residence,Sep - Residence,Oct - Residence,Nov - Residence,Dec - Residence,Jan - Nationality,Feb - Nationality,Mar - Nationality,Apr - Nationality,May - Nationality,Jun - Nationality,Jul - Nationality,Aug - Nationality,Sep - Nationality,Oct - Nationality,Nov - Nationality,Dec - Nationality
2005,Thailand,146614,140068,153019,163095,161583,166837,134357,163090,159520,172320,170569,169767,0,0,0,0,0,0,0,0,0,0,0,0
2005,Indonesia,79550,67947,93678,68074,65272,78206,104772,84844,74154,95560,84273,66627,0,0,0,0,0,0,0,0,0,0,0,0
2005,Brunei Darussalam,51144,31586,34090,53710,35170,39320,30921,31072,43302,45049,43595,47385,0,0,0,0,0,0,0,0,0,0,0,0
2005,Philippines,12141,10389,12969,14818,18690,15548,15815,12229,16058,17994,16636,15674,0,0,0,0,0,0,0,0,0,0,0,0
2005,Vietnam,3013,3778,4560,3396,4784,4083,7048,6018,4347,3782,3965,3769,0,0,0,0,0,0,0,0,0,0,0,0
2005,Cambodia,748,697,900,955,646,724,941,793,1021,770,997,765,0,0,0,0,0,0,0,0,0,0,0,0
2005,South Africa,1853,922,2188,1202,962,1389,1529,1083,1965,1119,1038,1131,0,0,0,0,0,0,0,0,0,0,0,0
2005,India,15117,14548,18828,15464,27701,24424,18252,17882,15679,20023,20687,17184,0,0,0,0,0,0,0,0,0,0,0,0
2005,Iran,968,644,2492,1006,678,739,942,1124,880,1005,891,940,0,0,0,0,0,0,0,0,0,0,0,0
2005,Russian Federation,2159,640,593,153,569,363,367,538,553,735,977,739,0,0,0,0,0,0,0,0,0,0,0,0
2005,Italy,1818,1613,2234,1314,1085,920,1484,4632,1849,1492,1354,1766,0,0,0,0,0,0,0,0,0,0,0,0
2005,Poland,872,856,883,463,510,379,477,574,449,509,495,3902,0,0,0,0,0,0,0,0,0,0,0,0
2005,USA,12364,11488,14795,9905,11900,10090,14493,15090,9726,12046,13748,15709,0,0,0,0,0,0,0,0,0,0,0,0
2005,Canada,3039,2838,3694,2252,2409,1976,2489,3240,2312,2180,2300,2438,0,0,0,0,0,0,0,0,0,0,0,0
2005,Saudi Arabia,2369,1581,1573,1314,1356,2883,10564,17507,8723,1005,2486,2321,0,0,0,0,0,0,0,0,0,0,0,0
2005,UAE,736,357,876,400,624,932,5308,16006,1930,434,1069,934,0,0,0,0,0,0,0,0,0,0,0,0
2005,Turkey,573,643,727,489,372,446,655,587,797,431,540,413,0,0,0,0,0,0,0,0,0,0,0,0
2005,Germany,4899,4905,7658,4409,3713,2768,4118,5590,6402,5164,5192,4526,0,0,0,0,0,0,0,0,0,0,0,0
2005,France,3160,3389,4483,2906,3027,1945,3464,5079,3036,3683,3316,2985,0,0,0,0,0,0,0,0,0,0,0,0
2005,Netherlands,2905,2669,3335,2252,2829,1965,3673,5714,3532,4078,4334,3207,0,0,0,0,0,0,0,0,0,0,0,0
2005,Switzerland,1667,1611,2152,1354,1319,904,1365,1547,1014,1503,1483,1781,0,0,0,0,0,0,0,0,0,0,0,0
2006,Australia,29981,19389,24845,22723,17902,20566,26593,20946,23180,25660,23005,22335,0,0,0,0,0,0,0,0,0,0,0,0
